Spelnamn,Rating,#Reviews,Rabatt%,Pris,OrdinariePris,Utgivningsår,Win,Lin,OSX,Tid
EA SPORTS™ Madden NFL 25,52%,"1,615",-50%,"34,99€","69,99€","15 Aug, 2024",1,0,0,27/11/2024
Borderlands 3 Ultimate Edition,83%,"115,294",N/A,"30,60€",N/A,,1,0,0,27/11/2024
Age of Wonders 4: Expansion Pass,78%,653,N/A,"49,76€",N/A,,1,0,0,27/11/2024
IL-2 Sturmovik: Flying Circus - Volume IV,N/A,N/A,-20%,"62,39€","77,99€","26 Nov, 2024",1,0,0,27/11/2024
Deadside Supporter Pack,78%,"30,710",N/A,"32,53€",N/A,,1,0,0,27/11/2024
Gold Mining Simulator & Orange Beast,71%,"13,281",-3%,"23,65€","24,28€",,1,0,0,27/11/2024
Songs of Conquest,86%,"8,612",-60%,"13,59€","33,99€","20 May, 2024",1,0,1,27/11/2024
Victoria 3: Expansion Pass,55%,"2,915",-25%,"29,48€","39,56€",,1,1,1,27/11/2024
Atelier Ryza: Ever Darkness & the Secret Hideout,86%,"6,841",-67%,"19,79€","59,99€","28 Oct, 2019",1,0,0,27/11/2024
Goat Simulator 3 - Multiversal Traveler's Bundle,96%,"4,861",-51%,"19,69€","40,48€",,1,0,0,27/11/2024
Kingdom Come: Deliverance Collection,81%,"112,121",N/A,"51,91€",N/A,,1,0,0,27/11/2024
The Forever Winter OST Bundle,74%,"13,304",N/A,"34,86€",N/A,,1,0,0,27/11/2024
Oxygen Not Included - Spaced Out!,79%,"1,102",-33%,"7,22€","10,79€","16 Dec, 2021",1,1,1,27/11/2024
Counter-Strike Complete,96%,"294,621",N/A,"11,66€",N/A,,1,1,0,27/11/2024
Dungeon Clawler,80%,451,-10%,"8,99€","9,99€","21 Nov, 2024",1,1,1,27/11/2024
The Outer Worlds: Spacer's Choice Edition,66%,"1,216",-60%,"23,99€","59,99€","7 Mar, 2023",1,0,0,27/11/2024
DUCKSIDE,75%,"1,425",-35%,"9,61€","14,79€","25 Sep, 2024",1,0,0,27/11/2024
XCOM® 2 Collection,84%,"75,293",N/A,"31,98€",N/A,,1,1,1,27/11/2024
Euro Truck Simulator 2 Essentials,97%,"623,498",N/A,"47,94€",N/A,,1,1,1,27/11/2024
Across the Obelisk,82%,"9,321",-50%,"9,99€","19,99€","16 Aug, 2022",1,1,1,27/11/2024
House Flipper Franchise Bundle,92%,"89,523",-1%,"119,35€","120,53€",,1,0,0,27/11/2024
Viewfinder,94%,"6,512",-45%,"13,74€","24,99€","18 Jul, 2023",1,0,0,27/11/2024
Expeditions Bundle,84%,"8,360",-74%,"28,57€","107,94€",,1,0,0,27/11/2024
Red Solstice 2 Season Pass Bundle,71%,"2,524",N/A,"25,18€",N/A,,1,0,0,27/11/2024
MX vs ATV Legends - 2024 Monster Energy Supercross Edition,74%,"1,802",N/A,"49,78€",N/A,,1,0,0,27/11/2024
Oxygen Not Included: The Frosty Planet Pack,86%,416,-20%,"6,23€","7,79€","18 Jul, 2024",1,1,1,27/11/2024
Road 96: Mile 0 – Full Journey,90%,"17,706",N/A,"27,00€",N/A,,1,0,0,27/11/2024
Borderlands: The Handsome Collection,92%,"232,140",N/A,"14,16€",N/A,,1,1,1,27/11/2024
High On Life + DLC Bundle,89%,"15,203",N/A,"43,41€",N/A,,1,0,0,27/11/2024
Lynked: Banner of the Spark - Early Access Bundle,92%,119,N/A,"30,82€",N/A,,1,0,0,27/11/2024
MudRunner + SnowRunner,90%,"60,269",N/A,"47,48€",N/A,,1,0,0,27/11/2024
Expansion - Hearts of Iron IV: By Blood Alone,37%,"2,546",-30%,"13,99€","19,99€","27 Sep, 2022",1,1,1,27/11/2024
Starship Troopers: Terran Command Complete Bundle,87%,"8,516",N/A,"45,47€",N/A,,1,0,0,27/11/2024
Norland,79%,"4,915",-35%,"19,49€","29,99€","18 Jul, 2024",1,0,0,27/11/2024
Lost But Found,72%,236,-20%,"4,71€","5,89€","25 Nov, 2024",1,1,1,27/11/2024
CR Channel Narrative Gems,96%,"11,176",N/A,"20,50€",N/A,,1,0,0,27/11/2024
Paradise Killer,93%,"2,776",-75%,"4,87€","19,50€","4 Sep, 2020",1,0,0,27/11/2024
Endling - Extinction is Forever,95%,"1,545",-85%,"4,49€","29,99€","19 Jul, 2022",1,0,0,27/11/2024
Atelier Ryza 2: Lost Legends & the Secret Fairy,90%,"2,828",-60%,"23,99€","59,99€","25 Jan, 2021",1,0,0,27/11/2024
Men of War: Assault Squad 2,91%,"33,010",-80%,"5,99€","29,99€","15 May, 2014",1,0,0,27/11/2024
Astroneer: Glitchwalkers Edition,91%,"105,800",-50%,"17,89€","35,98€",,1,0,0,27/11/2024
Hell Let Loose - Complete the Set,84%,"85,594",N/A,"142,90€",N/A,,1,0,0,27/11/2024
Street Legal Combo Pack,88%,"3,586",N/A,"9,79€",N/A,,1,0,0,27/11/2024
Car Thief,95%,"29,812",N/A,"40,04€",N/A,,1,0,0,27/11/2024
Spirit City: Lofi Sessions,97%,"6,457",-25%,"8,84€","11,79€","8 Apr, 2024",1,0,0,27/11/2024
【BloodySpell】Priestess series,89%,"30,816",-68%,"15,33€","47,82€",,1,0,0,27/11/2024
Way of the Hunter Ultimate Edition,80%,"5,868",N/A,"79,49€",N/A,,1,0,0,27/11/2024
The Rise of the Golden Idol - Deluxe Edition,93%,"1,372",N/A,"35,14€",N/A,,1,0,1,27/11/2024
Fight and Harvest,89%,"38,049",-14%,"40,36€","46,73€",,1,0,0,27/11/2024
Hearts of Iron IV: Ultimate Bundle,88%,"240,753",-46%,"91,06€","168,66€",,1,1,1,27/11/2024
GearBlocks,90%,422,-20%,"11,83€","14,79€","9 Nov, 2023",1,0,0,27/11/2024
